"","Comment.gene_symbols.","Comment.descriptions.","Drug_A.diff.logFC","a_p_val","Drug_C.diff.logFC","c_p_val","Drug_D.diff.logFC","d_p_val"
"1","DDX11L1","DEAD/H (Asp-Glu-Ala-Asp/His) box helicase 11 like 1",0.033232774677475,0.999975715833619,-0.164065406418135,0.117220208198498,-0.176302518252928,0.033582746339958
"2","KLHL17","kelch-like 17 (Drosophila)",0.0124243610240278,0.999975715833619,-0.159527838007961,0.17461813715287,-0.199292154193357,0.0404022763192126
"3","PLEKHN1","pleckstrin homology domain containing, family N member 1",0.0270951677962765,0.999975715833619,-0.0170175195532103,0.874840721247366,-0.243884928276353,0.0113875326484249
"4","AGRN","agrin",0.0522794702961074,0.999975715833619,-0.18487869782268,0.136827439386223,-0.340295285358656,0.00387816277182718
"5","SCNN1D","sodium channel, non-voltage-gated 1, delta subunit",0.00646452539737474,0.999975715833619,-0.185189313534877,0.10661263353127,-0.233202935772898,0.0140754327109367
"6","GLTPD1","glycolipid transfer protein domain containing 1",0.0924140399594906,0.926935354530783,-0.0200002444733762,0.836136063706129,0.439557820971649,0.000120425175722992
"7","TMEM88B","transmembrane protein 88B",0.0454062550834831,0.999975715833619,-0.156898264223041,0.2150102866028,-0.254474411062623,0.0227473047699621
"8","ATAD3C","ATPase family, AAA domain containing 3C",0.176350834159334,0.65518504099356,0.321833166627632,0.0153989635242936,0.0294601873962677,0.739833590086694
"9","CALML6","calmodulin-like 6",0.0371084045150738,0.999975715833619,-0.168369626519103,0.203886666521266,-0.375132899320204,0.00418975235372261
"10","RER1","RER1 retention in endoplasmic reticulum 1 homolog (S. cerevisiae)",0.00759442156784562,0.999975715833619,0.149785799830069,0.169023562632632,-0.0832976445263034,0.322757417142301
"11","FAM213B","family with sequence similarity 213, member B",0.11725429642048,0.907631296873123,-0.0529861956364392,0.625239335657686,-0.0846606787882571,0.334437894970763
"12","ARHGEF16","Rho guanine nucleotide exchange factor (GEF) 16",0.0205679388385773,0.999975715833619,-0.170713125764276,0.126720154770465,-0.286827644993689,0.00536340279312995
"13","CCDC27","coiled-coil domain containing 27",-0.0156180383783191,0.999975715833619,-0.119202016931381,0.230923351687357,-0.271532721504039,0.00565949566421993
"14","AJAP1","adherens junctions associated protein 1",0.0135779021267961,0.999975715833619,-0.141841560452671,0.240107486423449,-0.263008403368478,0.0163259067286349
"15","HES3","hairy and enhancer of split 3 (Drosophila)",0.0164343163293434,0.999975715833619,-0.206028637796753,0.172196230132832,-0.128934640804505,0.269542148662413
"16","CAMTA1","calmodulin binding transcription activator 1",-0.103382950241639,0.841090222731874,-0.181372747212269,0.0586877478336744,-0.31026163311684,0.000705430580060408
"17","PARK7","parkinson protein 7",0.010018820142129,0.999975715833619,-0.0575312913733441,0.45769320374778,-0.0682528874514006,0.278724577620709
"18","H6PD","hexose-6-phosphate dehydrogenase (glucose 1-dehydrogenase)",-0.229260759149158,0.951031053746291,-0.297766440250195,0.238919107838765,-0.114678152979336,0.575610900368511
"19","SPSB1","splA/ryanodine receptor domain and SOCS box containing 1",0.185663711725362,0.924184800727793,0.00774697643955058,0.970617198820763,0.364505429640761,0.0250757476139728
"20","SLC25A33","solute carrier family 25 (pyrimidine nucleotide carrier), member 33",-0.173410727939776,0.930651993563348,-0.0691513383195117,0.697477622357893,1.20261403145683,4.95335974334162e-06
"21","UBE4B","ubiquitination factor E4B",-0.00753750968842759,0.999975715833619,0.235298493852573,0.185508679241887,0.207886206588674,0.139168386392654
"22","PTCHD2","patched domain containing 2",0.133592350566225,0.887500137681275,0.00589219021666221,0.965159063647974,-0.118504244802259,0.217943815152599
"23","AADACL4","arylacetamide deacetylase-like 4",-0.157988458075797,0.866957806390663,-0.243732743528348,0.0995752224009647,-0.35091320532698,0.00635453317904149
"24","PRAMEF12","PRAME family member 12",0.168111964023129,0.965737903976807,-0.0340137460345069,0.870449821858982,-0.231378735924461,0.153198466303599
"25","PRAMEF2","PRAME family member 2",1.16636543308139,0.0520867611869538,0.977276688279842,0.00682496823413899,1.08372611402909,0.000618102164718487
"26","PRAMEF17","PRAME family member 17",-0.00222791598216432,0.999975715833619,-0.148552283252197,0.184937661028907,-0.224840220486729,0.0212211950635661
"27","TMEM51","transmembrane protein 51",-0.0926207814046851,0.982208394033356,0.00701662524552038,0.961535499425577,0.456366682529087,0.00106084220642056
"28","PLEKHM2","pleckstrin homology domain containing, family M (with RUN domain) member 2",-0.0816549856563018,0.977909193110411,0.0328945746908271,0.761733233557586,0.504607606855411,0.000116740116001057
"29","FBLIM1","filamin binding LIM protein 1",0.0411135006781764,0.999975715833619,-0.119952382074513,0.212598853997011,-0.245507934487087,0.00767166716129891
"30","NECAP2","NECAP endocytosis associated 2",0.166523734471854,0.770891351539081,0.396669404016386,0.00551121339288989,0.381901357175951,0.00138560541730311
"31","ARHGEF10L","Rho guanine nucleotide exchange factor (GEF) 10-like",0.0662972821070076,0.973129340436556,-0.0960313787356704,0.242859168850174,-0.101339491317982,0.131236004518026
"32","ACTL8","actin-like 8",-0.0413535761299304,0.999975715833619,-0.0424016921448302,0.764821799653803,-0.162160437656159,0.152592202491314
"33","PAX7","paired box 7",-0.0153615107118439,0.999975715833619,-0.137262756802575,0.179654772621281,-0.24925875788494,0.00862042137483433
"34","MRTO4","mRNA turnover 4 homolog (S. cerevisiae)",0.124184495295649,0.773150995455174,0.276600486543742,0.0101466985772121,0.283276344721816,0.00175766891508427
"35","PLA2G5","phospholipase A2, group V",-0.0211782864330043,0.999975715833619,-0.111299596721072,0.163114634028402,-0.192311146474945,0.00858149820051033
"36","PLA2G2F","phospholipase A2, group IIF",0.0758450144518816,0.999975715833619,-0.128608201216475,0.349583285375966,-0.0801745571831844,0.473905037792286
"37","UBXN10","UBX domain protein 10",-0.0276350874255753,0.999975715833619,-0.325568754481604,0.0339672214650001,-0.450970108405081,0.00110644770965804
"38","EPHA8","EPH receptor A8",0.0132652731060503,0.999975715833619,-0.225214238400554,0.0500236960332605,-0.261571989720658,0.00614799566872958
"39","C1QC","complement component 1, q subcomponent, C chain",0.0107996799128198,0.999975715833619,-0.121034681809572,0.583214791738511,-0.44062979548481,0.0256277763487447
"40","KDM1A","lysine (K)-specific demethylase 1A",0.109357251410261,0.999975715833619,0.327423765287101,0.179886761493601,0.137801919229,0.471250134342536
"41","C1orf213","chromosome 1 open reading frame 213",-0.0357901151833069,0.999975715833619,-0.0956643701216553,0.227017196822271,-0.0762299218581166,0.22992932807228
"42","LYPLA2","lysophospholipase II",0.0697910970309348,0.999975715833619,0.15620364214371,0.227072492898842,0.12884290059228,0.214779169405404
"43","NIPAL3","NIPA-like domain containing 3",-0.0023086914138748,0.999975715833619,0.0575157539026963,0.628845271830969,-0.159731968496995,0.104215980316808
"44","C1orf130","chromosome 1 open reading frame 130",-0.120497124730311,0.95950073146674,-0.294370116465589,0.0603564077612755,-0.0277753399453626,0.803149508000754
"45","ZNF593","zinc finger protein 593",-0.0955571545165101,0.999975715833619,-0.16243417568873,0.405245695272111,0.41646424634467,0.0193069455644857
"46","LIN28A","lin-28 homolog A (C. elegans)",0.0102717224467801,0.999975715833619,-0.144964362114602,0.184251918939713,-0.140880794675552,0.105810137457683
"47","RPS6KA1","ribosomal protein S6 kinase, 90kDa, polypeptide 1",0.21245296210474,0.964541185140792,0.53060079630762,0.0618413547519283,0.504977518434173,0.0223231509165926
"48","TRNP1","TMF1-regulated nuclear protein 1",0.0710025814853328,0.977909193110411,0.0122318956216754,0.905089567052596,-0.0131193908247473,0.869924704186892
"49","C1orf38","chromosome 1 open reading frame 38",0.0576876994601658,0.999975715833619,-0.311693676471265,0.16367386933748,-0.215031858049292,0.21386102697539
"50","SMPDL3B","sphingomyelin phosphodiesterase, acid-like 3B",-0.0323867458809417,0.999975715833619,-0.0543031221273029,0.742826376896695,-0.313943336346725,0.0289389067706235
"51","XKR8","XK, Kell blood group complex subunit-related family, member 8",0.0392671366631783,0.999975715833619,0.0450276897090918,0.559778223904604,0.298808903353684,0.00061411615545282
"52","PHACTR4","phosphatase and actin regulator 4",0.0703901325917551,0.999975715833619,0.161645061110948,0.177865173834958,0.691290155964278,1.41655818092832e-05
"53","RAB42","RAB42, member RAS oncogene family",-0.0522859206995108,0.999975715833619,-0.113958219379042,0.257991876672927,-0.118556368135312,0.151379107125894
"54","YTHDF2","YTH domain family, member 2",-0.145195211687358,0.930651993563348,-0.269317062043285,0.104666335602392,0.014510604542048,0.905430521895924
