jobAct,exercise,actLev
Sedentary,None,Inactive
Sedentary,Under Half hour a day,Moderately inactive
Sedentary,Half to one hour a day,Moderately active
Sedentary,More than an hour a day,Active
Standing,None,Moderately inactive
Standing,Under Half hour a day,Moderately active
Standing,Half to one hour a day,Active
Standing,More than an hour a day,Active
Physical,None,Moderately active
Physical,Under Half hour a day,Active
Physical,Half to one hour a day,Active
Physical,More than an hour a day,Active
Heavy Manual,None,Active
Heavy Manual,Under Half hour a day,Active
Heavy Manual,Half to one hour a day,Active
Heavy Manual,More than an hour a day,Active
