"","pmid","cit","year"
"21191471","21191471",3,2010
"21190994","21190994",8,2010
"21190991","21190991",27,2010
"21189660","21189660",8,2010
"21189385","21189385",25,2010
"21188098","21188098",0,2010
"21187610","21187610",0,2010
"21185599","21185599",0,2010
"21182472","21182472",9,2010
"21182289","21182289",1,2010
"21180648","21180648",1,2010
"21180369","21180369",0,2010
"21176960","21176960",1,2010
"21176359","21176359",0,2010
"21174533","21174533",1,2010
"21174269","21174269",0,2010
"21173142","21173142",1,2010
"21172017","21172017",1,2010
"21171868","21171868",3,2010
"21168913","21168913",2,2010
"21168405","21168405",1,2010
"21168391","21168391",3,2010
"21167657","21167657",1,2010
"21163058","21163058",0,2010
"21161696","21161696",0,2010
"21161005","21161005",0,2010
"21159613","21159613",6,2010
"21158751","21158751",3,2010
"21156732","21156732",2,2010
"21156322","21156322",1,2010
"21156258","21156258",0,2010
"21156230","21156230",1,2010
"21156228","21156228",10,2010
"21156227","21156227",4,2010
"21156226","21156226",0,2010
"21156225","21156225",5,2010
"21156224","21156224",5,2010
"21155758","21155758",14,2010
"21154127","21154127",7,2010
"21153774","21153774",4,2010
"21151023","21151023",16,2010
"21148333","21148333",47,2010
"21146841","21146841",0,2010
"21146422","21146422",1,2010
"21145576","21145576",0,2010
"21143592","21143592",4,2010
"21143517","21143517",0,2010
"21141443","21141443",1,2010
"21139082","21139082",4,2010
"21139079","21139079",2,2010
"21138552","21138552",1,2010
"21137069","21137069",2,2010
"21136270","21136270",0,2010
"21135257","21135257",15,2010
"21134984","21134984",12,2010
"21133733","21133733",0,2010
"21133730","21133730",3,2010
"21131588","21131588",33,2010
"21130495","21130495",4,2010
"21130365","21130365",2,2010
"21129293","21129293",0,2010
"21129242","21129242",0,2010
"21127498","21127498",5,2010
"21127190","21127190",0,2010
"21126679","21126679",0,2010
"21124205","21124205",0,2010
"21123968","21123968",0,2010
"21123439","21123439",1,2010
"21121903","21121903",5,2010
"21120911","21120911",4,2010
"21120710","21120710",0,2010
"21120481","21120481",2,2010
"21118128","21118128",15,2010
"21115978","21115978",16,2010
"21115975","21115975",6,2010
"21113594","21113594",3,2010
"21113496","21113496",0,2010
"21106985","21106985",7,2010
"21106726","21106726",18,2010
"21102429","21102429",5,2010
"21102365","21102365",0,2010
"21102324","21102324",1,2010
"21099364","21099364",5,2010
"21098398","21098398",22,2010
"21098010","21098010",0,2010
"21097689","21097689",7,2010
"21096115","21096115",0,2010
"21095486","21095486",0,2010
"21095047","21095047",9,2010
"21093051","21093051",7,2010
"21092185","21092185",6,2010
"21092169","21092169",5,2010
"21092008","21092008",2,2010
"21091905","21091905",5,2010
"21087105","21087105",0,2010
"21083655","21083655",3,2010
"21083456","21083456",2,2010
"21082984","21082984",2,2010
"21082935","21082935",2,2010
"21079657","21079657",9,2010
"21079155","21079155",14,2010
"21078205","21078205",2,2010
"21077722","21077722",0,2010
"21074490","21074490",3,2010
"21074268","21074268",0,2010
"21072994","21072994",0,2010
"21072184","21072184",10,2010
"21069786","21069786",2,2010
"21067444","21067444",1,2010
"21067270","21067270",0,2010
"21067265","21067265",0,2010
"21062507","21062507",0,2010
"21061845","21061845",0,2010
"21047488","21047488",0,2010
"21047487","21047487",0,2010
"21044363","21044363",10,2010
"21044361","21044361",6,2010
"21057893","21057893",0,2010
"21056550","21056550",5,2010
"21055809","21055809",1,2010
"21055184","21055184",0,2010
"21054858","21054858",2,2010
"21054188","21054188",1,2010
"21054149","21054149",6,2010
"21051931","21051931",4,2010
"21049055","21049055",3,2010
"21048153","21048153",10,2010
"21048031","21048031",2,2010
"21047561","21047561",5,2010
"21041334","21041334",0,2010
"21037135","21037135",1,2010
"21036690","21036690",5,2010
"21034831","21034831",2,2010
"21033669","21033669",12,2010
"21030350","21030350",3,2010
"21030349","21030349",2,2010
"21030347","21030347",1,2010
"21029776","21029776",13,2010
"21029527","21029527",8,2010
"20981156","20981156",2,2010
"20979309","20979309",0,2010
"20978760","20978760",0,2010
"20976208","20976208",3,2010
"20975664","20975664",8,2010
"20974512","20974512",1,2010
"20974048","20974048",0,2010
"20971952","20971952",11,2010
"20971821","20971821",4,2010
"20970674","20970674",2,2010
"20966934","20966934",1,2010
"20966144","20966144",0,2010
"20962860","20962860",11,2010
"20959655","20959655",3,2010
"20958855","20958855",4,2010
"20957632","20957632",6,2010
"20956983","20956983",20,2010
"20956757","20956757",0,2010
"20956327","20956327",18,2010
"20956015","20956015",0,2010
"20954964","20954964",0,2010
"20952689","20952689",11,2010
"20952518","20952518",30,2010
"20952071","20952071",2,2010
"20948435","20948435",1,2010
"20947708","20947708",0,2010
"20947664","20947664",1,2010
"20947517","20947517",9,2010
"20947165","20947165",1,2010
"20945824","20945824",4,2010
"20944678","20944678",10,2010
"20943609","20943609",6,2010
"20942870","20942870",0,2010
"20942624","20942624",3,2010
"20940416","20940416",99,2010
"20940199","20940199",14,2010
"20940198","20940198",3,2010
"20938713","20938713",5,2010
"20938025","20938025",6,2010
"20936047","20936047",35,2010
"20935673","20935673",11,2010
"20935290","20935290",4,2010
"20930513","20930513",11,2010
