pubmed - "chronic lymphocytic leukaemia" or "chronic lymphocytic leukemia" or "CLL"
year,count
2015,725
2014,1001
2013,930
2012,787
2011,776
2010,819
2009,695
2008,618
2007,608
2006,594
2005,548
2004,517
2003,456
2002,495
2001,396
2000,391
1999,398
1998,330
1997,370
1996,342
1995,330
1994,378
1993,366
1992,313
1991,276
1990,296
1989,296
1988,354
1987,320
1986,272
1985,253
1984,245
1983,260
1982,241
1981,195
1980,197
1979,173
1978,151
1977,183
1976,156
1975,116
1974,62
1973,55
1972,36
1971,35
1970,25
1969,30
1968,23
1967,21
1966,14
1965,8
1964,12
1963,4
1962,10
1961,4
1960,8
1959,3
1958,1
1957,4
1956,6
1955,2
1953,2
1949,1

