year,articles,reviews
2015,725,38
2014,1001,147
2013,930,185
2012,787,124
2011,776,112
2010,819,135
2009,695,97
2008,618,74
2007,608,126
2006,594,112
2005,548,99
2004,517,103
2003,456,93
2002,495,89
2001,396,58
2000,391,63
1999,398,54
1998,330,47
1997,370,64
1996,342,50
1995,330,38
1994,378,50
1993,366,50
1992,313,30
1991,276,28
1990,296,33
1989,296,20
1988,354,33
1987,320,17
1986,272,9
1985,253,7
1984,245,6
1983,260,4
1982,241,2
1981,195,6
1980,197,5
1979,173,3
1978,151,3
1977,183,9
1976,156,5
1975,116,3
1974,62,1
1973,55,1
1972,36,1
1971,35,1
1970,25,1
1969,30,
1968,23
1967,21
1966,14
1965,8
1964,12
1963,4
1962,10
1961,4
1960,8
1959,3
1958,1
1957,4
1956,6
1955,2
1953,2
1949,1
