x,y,no_bacon,bacon,image,icon
1,1,no_cancer,no_cancer,noun_Man_13779_000000.png,ios-man
1,2,no_cancer,no_cancer,noun_Woman_13776_000000.png,ios-woman
1,3,no_cancer,no_cancer,noun_Man_13779_000000.png,ios-man
1,4,no_cancer,no_cancer,noun_Woman_13776_000000.png,ios-woman
1,5,no_cancer,no_cancer,noun_Man_13779_000000.png,ios-man
2,1,no_cancer,no_cancer,noun_Woman_13776_000000.png,ios-woman
2,2,no_cancer,no_cancer,noun_Man_13779_000000.png,ios-man
2,3,no_cancer,no_cancer,noun_Woman_13776_000000.png,ios-woman
2,4,no_cancer,no_cancer,noun_Man_13779_000000.png,ios-man
2,5,no_cancer,no_cancer,noun_Woman_13776_000000.png,ios-woman
3,1,no_cancer,no_cancer,noun_Man_13779_000000.png,ios-man
3,2,no_cancer,no_cancer,noun_Woman_13776_000000.png,ios-woman
3,3,no_cancer,no_cancer,noun_Man_13779_000000.png,ios-man
3,4,cancer,cancer,noun_Woman_13776_000000.png,ios-woman
3,5,no_cancer,no_cancer,noun_Man_13779_000000.png,ios-man
4,1,no_cancer,no_cancer,noun_Woman_13776_000000.png,ios-woman
4,2,no_cancer,no_cancer,noun_Man_13779_000000.png,ios-man
4,3,no_cancer,no_cancer,noun_Woman_13776_000000.png,ios-woman
4,4,no_cancer,no_cancer,noun_Man_13779_000000.png,ios-man
4,5,no_cancer,no_cancer,noun_Woman_13776_000000.png,ios-woman
5,1,no_cancer,no_cancer,noun_Man_13779_000000.png,ios-man
5,2,no_cancer,no_cancer,noun_Woman_13776_000000.png,ios-woman
5,3,no_cancer,no_cancer,noun_Man_13779_000000.png,ios-man
5,4,no_cancer,no_cancer,noun_Woman_13776_000000.png,ios-woman
5,5,no_cancer,no_cancer,noun_Man_13779_000000.png,ios-man
6,1,no_cancer,no_cancer,noun_Woman_13776_000000.png,ios-woman
6,2,no_cancer,no_cancer,noun_Man_13779_000000.png,ios-man
6,3,no_cancer,no_cancer,noun_Woman_13776_000000.png,ios-woman
6,4,no_cancer,no_cancer,noun_Man_13779_000000.png,ios-man
6,5,no_cancer,no_cancer,noun_Woman_13776_000000.png,ios-woman
7,1,no_cancer,extra_cancer,noun_Man_13779_000000.png,ios-man
7,2,no_cancer,no_cancer,noun_Woman_13776_000000.png,ios-woman
7,3,no_cancer,no_cancer,noun_Man_13779_000000.png,ios-man
7,4,no_cancer,no_cancer,noun_Woman_13776_000000.png,ios-woman
7,5,cancer,cancer,noun_Man_13779_000000.png,ios-man
8,1,no_cancer,no_cancer,noun_Woman_13776_000000.png,ios-woman
8,2,no_cancer,no_cancer,noun_Man_13779_000000.png,ios-man
8,3,no_cancer,no_cancer,noun_Woman_13776_000000.png,ios-woman
8,4,no_cancer,no_cancer,noun_Man_13779_000000.png,ios-man
8,5,no_cancer,no_cancer,noun_Woman_13776_000000.png,ios-woman
9,1,no_cancer,no_cancer,noun_Man_13779_000000.png,ios-man
9,2,no_cancer,no_cancer,noun_Woman_13776_000000.png,ios-woman
9,3,cancer,cancer,noun_Man_13779_000000.png,ios-man
9,4,no_cancer,no_cancer,noun_Woman_13776_000000.png,ios-woman
9,5,no_cancer,no_cancer,noun_Man_13779_000000.png,ios-man
10,1,no_cancer,no_cancer,noun_Woman_13776_000000.png,ios-woman
10,2,no_cancer,no_cancer,noun_Man_13779_000000.png,ios-man
10,3,no_cancer,no_cancer,noun_Woman_13776_000000.png,ios-woman
10,4,no_cancer,no_cancer,noun_Man_13779_000000.png,ios-man
10,5,no_cancer,no_cancer,noun_Woman_13776_000000.png,ios-woman
11,1,no_cancer,no_cancer,noun_Man_13779_000000.png,ios-man
11,2,no_cancer,no_cancer,noun_Man_13779_000000.png,ios-woman
11,3,no_cancer,no_cancer,noun_Woman_13776_000000.png,ios-man
11,4,no_cancer,no_cancer,noun_Man_13779_000000.png,ios-woman
11,5,no_cancer,no_cancer,noun_Woman_13776_000000.png,ios-man
12,1,no_cancer,no_cancer,noun_Man_13779_000000.png,ios-woman
12,2,no_cancer,no_cancer,noun_Woman_13776_000000.png,ios-man
12,3,no_cancer,no_cancer,noun_Man_13779_000000.png,ios-woman
12,4,no_cancer,no_cancer,noun_Woman_13776_000000.png,ios-man
12,5,no_cancer,no_cancer,noun_Man_13779_000000.png,ios-woman
13,1,no_cancer,no_cancer,noun_Woman_13776_000000.png,ios-man
13,2,no_cancer,no_cancer,noun_Man_13779_000000.png,ios-woman
13,3,no_cancer,no_cancer,noun_Woman_13776_000000.png,ios-man
13,4,no_cancer,no_cancer,noun_Man_13779_000000.png,ios-woman
13,5,no_cancer,no_cancer,noun_Man_13779_000000.png,ios-man
14,1,no_cancer,no_cancer,noun_Woman_13776_000000.png,ios-woman
14,2,no_cancer,no_cancer,noun_Man_13779_000000.png,ios-man
14,3,no_cancer,no_cancer,noun_Woman_13776_000000.png,ios-woman
14,4,no_cancer,no_cancer,noun_Man_13779_000000.png,ios-man
14,5,no_cancer,no_cancer,noun_Woman_13776_000000.png,ios-woman
15,1,no_cancer,no_cancer,noun_Man_13779_000000.png,ios-man
15,2,cancer,cancer,noun_Woman_13776_000000.png,ios-woman
15,3,no_cancer,no_cancer,noun_Man_13779_000000.png,ios-man
15,4,no_cancer,no_cancer,noun_Woman_13776_000000.png,ios-woman
15,5,no_cancer,no_cancer,noun_Man_13779_000000.png,ios-man
16,1,no_cancer,no_cancer,noun_Woman_13776_000000.png,ios-woman
16,2,no_cancer,no_cancer,noun_Man_13779_000000.png,ios-man
16,3,no_cancer,no_cancer,noun_Man_13779_000000.png,ios-woman
16,4,no_cancer,no_cancer,noun_Woman_13776_000000.png,ios-man
16,5,no_cancer,no_cancer,noun_Man_13779_000000.png,ios-woman
17,1,no_cancer,no_cancer,noun_Woman_13776_000000.png,ios-man
17,2,no_cancer,no_cancer,noun_Man_13779_000000.png,ios-woman
17,3,no_cancer,no_cancer,noun_Woman_13776_000000.png,ios-man
17,4,cancer,cancer,noun_Man_13779_000000.png,ios-woman
17,5,no_cancer,no_cancer,noun_Woman_13776_000000.png,ios-man
18,1,no_cancer,no_cancer,noun_Man_13779_000000.png,ios-woman
18,2,no_cancer,no_cancer,noun_Woman_13776_000000.png,ios-man
18,3,no_cancer,no_cancer,noun_Man_13779_000000.png,ios-woman
18,4,no_cancer,no_cancer,noun_Woman_13776_000000.png,ios-man
18,5,no_cancer,no_cancer,noun_Man_13779_000000.png,ios-woman
19,1,no_cancer,no_cancer,noun_Man_13779_000000.png,ios-man
19,2,no_cancer,no_cancer,noun_Woman_13776_000000.png,ios-woman
19,3,cancer,cancer,noun_Man_13779_000000.png,ios-man
19,4,no_cancer,no_cancer,noun_Woman_13776_000000.png,ios-woman
19,5,no_cancer,no_cancer,noun_Man_13779_000000.png,ios-man
20,1,no_cancer,no_cancer,noun_Woman_13776_000000.png,ios-woman
20,2,no_cancer,no_cancer,noun_Man_13779_000000.png,ios-man
20,3,no_cancer,no_cancer,noun_Woman_13776_000000.png,ios-woman
20,4,no_cancer,no_cancer,noun_Man_13779_000000.png,ios-man
20,5,no_cancer,no_cancer,noun_Woman_13776_000000.png,ios-woman
