"Reference Area","Time Period","Sex","Age group","Units of measurement","Observation Value"
"Albania","2008","Not applicable","Not applicable","Percent","0.15308"
"Albania","2007","Not applicable","Not applicable","Percent","0.08735"
"Algeria","2005","Not applicable","Not applicable","Percent","0.06604"
"Algeria","2004","Not applicable","Not applicable","Percent","0.16357"
"Algeria","2003","Not applicable","Not applicable","Percent","0.19623"
"Algeria","2002","Not applicable","Not applicable","Percent","0.3664"
"Algeria","2001","Not applicable","Not applicable","Percent","0.23028"
"Argentina","2011","Not applicable","Not applicable","Percent","0.64696"
"Argentina","2010","Not applicable","Not applicable","Percent","0.61745"
"Argentina","2009","Not applicable","Not applicable","Percent","0.5951"
"Argentina","2008","Not applicable","Not applicable","Percent","0.52381"
"Argentina","2007","Not applicable","Not applicable","Percent","0.50793"
"Argentina","2006","Not applicable","Not applicable","Percent","0.49462"
"Argentina","2005","Not applicable","Not applicable","Percent","0.46077"
"Argentina","2004","Not applicable","Not applicable","Percent","0.43756"
"Argentina","2003","Not applicable","Not applicable","Percent","0.41013"
"Argentina","2002","Not applicable","Not applicable","Percent","0.38886"
"Argentina","2001","Not applicable","Not applicable","Percent","0.42461"
"Argentina","2000","Not applicable","Not applicable","Percent","0.43884"
"Argentina","1999","Not applicable","Not applicable","Percent","0.45337"
"Argentina","1998","Not applicable","Not applicable","Percent","0.41131"
"Argentina","1997","Not applicable","Not applicable","Percent","0.41959"
"Argentina","1996","Not applicable","Not applicable","Percent","0.41749"
"Armenia","2011","Not applicable","Not applicable","Percent","0.27014"
"Armenia","2010","Not applicable","Not applicable","Percent","0.24139"
"Armenia","2009","Not applicable","Not applicable","Percent","0.29093"
"Armenia","2008","Not applicable","Not applicable","Percent","0.22438"
"Armenia","2007","Not applicable","Not applicable","Percent","0.21107"
"Armenia","2006","Not applicable","Not applicable","Percent","0.24057"
"Armenia","2005","Not applicable","Not applicable","Percent","0.25761"
"Armenia","2004","Not applicable","Not applicable","Percent","0.21201"
"Armenia","2003","Not applicable","Not applicable","Percent","0.23971"
"Armenia","2002","Not applicable","Not applicable","Percent","0.25255"
"Armenia","2001","Not applicable","Not applicable","Percent","0.27987"
"Armenia","2000","Not applicable","Not applicable","Percent","0.18463"
"Armenia","1999","Not applicable","Not applicable","Percent","0.214"
"Armenia","1998","Not applicable","Not applicable","Percent","0.22601"
"Armenia","1997","Not applicable","Not applicable","Percent","0.18692"
"Australia","2010","Not applicable","Not applicable","Percent","2.38562"
"Australia","2008","Not applicable","Not applicable","Percent","2.40778"
"Australia","2006","Not applicable","Not applicable","Percent","2.18873"
"Australia","2004","Not applicable","Not applicable","Percent","1.85759"
"Australia","2002","Not applicable","Not applicable","Percent","1.75"
"Australia","2000","Not applicable","Not applicable","Percent","1.57349"
"Australia","1998","Not applicable","Not applicable","Percent","1.51324"
"Australia","1996","Not applicable","Not applicable","Percent","1.65987"
"Austria","2012","Not applicable","Not applicable","Percent","2.83639"
"Austria","2011","Not applicable","Not applicable","Percent","2.76578"
"Austria","2010","Not applicable","Not applicable","Percent","2.79846"
"Austria","2009","Not applicable","Not applicable","Percent","2.70782"
"Austria","2008","Not applicable","Not applicable","Percent","2.66957"
"Austria","2007","Not applicable","Not applicable","Percent","2.50632"
"Austria","2006","Not applicable","Not applicable","Percent","2.43928"
"Austria","2005","Not applicable","Not applicable","Percent","2.4587"
"Austria","2004","Not applicable","Not applicable","Percent","2.23663"
"Austria","2003","Not applicable","Not applicable","Percent","2.24092"
"Austria","2002","Not applicable","Not applicable","Percent","2.12412"
"Austria","2001","Not applicable","Not applicable","Percent","2.05092"
"Austria","2000","Not applicable","Not applicable","Percent","1.93246"
"Austria","1999","Not applicable","Not applicable","Percent","1.88782"
"Austria","1998","Not applicable","Not applicable","Percent","1.77157"
"Austria","1997","Not applicable","Not applicable","Percent","1.69444"
"Austria","1996","Not applicable","Not applicable","Percent","1.59811"
"Azerbaijan","2011","Not applicable","Not applicable","Percent","0.21084"
"Azerbaijan","2010","Not applicable","Not applicable","Percent","0.21848"
"Azerbaijan","2009","Not applicable","Not applicable","Percent","0.24976"
"Azerbaijan","2008","Not applicable","Not applicable","Percent","0.16554"
"Azerbaijan","2007","Not applicable","Not applicable","Percent","0.17006"
"Azerbaijan","2006","Not applicable","Not applicable","Percent","0.17165"
"Azerbaijan","2005","Not applicable","Not applicable","Percent","0.21994"
"Azerbaijan","2004","Not applicable","Not applicable","Percent","0.29831"
"Azerbaijan","2003","Not applicable","Not applicable","Percent","0.32496"
"Azerbaijan","2002","Not applicable","Not applicable","Percent","0.30155"
"Azerbaijan","2001","Not applicable","Not applicable","Percent","0.34001"
"Azerbaijan","2000","Not applicable","Not applicable","Percent","0.336"
"Azerbaijan","1999","Not applicable","Not applicable","Percent","0.39289"
"Azerbaijan","1998","Not applicable","Not applicable","Percent","0.42124"
"Azerbaijan","1997","Not applicable","Not applicable","Percent","0.3695"
"Azerbaijan","1996","Not applicable","Not applicable","Percent","0.23533"
"Belarus","2011","Not applicable","Not applicable","Percent","0.7006"
"Belarus","2010","Not applicable","Not applicable","Percent","0.6935"
"Belarus","2009","Not applicable","Not applicable","Percent","0.64269"
"Belarus","2008","Not applicable","Not applicable","Percent","0.74147"
"Belarus","2007","Not applicable","Not applicable","Percent","0.96203"
"Belarus","2006","Not applicable","Not applicable","Percent","0.66065"
"Belarus","2005","Not applicable","Not applicable","Percent","0.67852"
"Belarus","2004","Not applicable","Not applicable","Percent","0.62759"
"Belarus","2003","Not applicable","Not applicable","Percent","0.61147"
"Belarus","2002","Not applicable","Not applicable","Percent","0.6209"
"Belarus","2001","Not applicable","Not applicable","Percent","0.70876"
"Belarus","2000","Not applicable","Not applicable","Percent","0.7221"
"Belarus","1999","Not applicable","Not applicable","Percent","0.84523"
"Belarus","1998","Not applicable","Not applicable","Percent","0.70578"
"Belarus","1997","Not applicable","Not applicable","Percent","0.73"
"Belarus","1996","Not applicable","Not applicable","Percent","0.99852"
"Belgium","2012","Not applicable","Not applicable","Percent","2.23621"
"Belgium","2011","Not applicable","Not applicable","Percent","2.21281"
"Belgium","2010","Not applicable","Not applicable","Percent","2.10478"
"Belgium","2009","Not applicable","Not applicable","Percent","2.02668"
"Belgium","2008","Not applicable","Not applicable","Percent","1.96686"
"Belgium","2007","Not applicable","Not applicable","Percent","1.89299"
"Belgium","2006","Not applicable","Not applicable","Percent","1.85884"
"Belgium","2005","Not applicable","Not applicable","Percent","1.82957"
"Belgium","2004","Not applicable","Not applicable","Percent","1.85508"
"Belgium","2003","Not applicable","Not applicable","Percent","1.87482"
