"probeset_id"	"UT.1"	"UT.2"	"UT.3"	"Drug_53.1"	"Drug_53.2"	"Drug_53.3"	"Drug_11.1"	"Drug_11.2"	"Drug_11.3"	"Drug_38.1"	"Drug_38.2"	"Drug_38.3"	"Drug_49.1"	"Drug_49.2"	"Drug_49.3"	"Comment.gene_symbols."	"Comment.descriptions."
"1"	"TC09000865.hg.1"	1.64677997941614	1.69111654691876	1.7026225653793	1.66738501976154	1.35697632652837	1.74465798646318	1.44812069900574	1.81571852726591	1.67366313299079	1.7106336303912	1.69882553589431	1.76292587700581	1.75824325111835	1.5969162401351	1.64260825154008	"C9orf66"	"chromosome 9 open reading frame 66"
"2"	"TC10000580.hg.1"	4.62379736641422	4.3450321914753	4.46937714194865	4.66286231887922	4.82123722366681	4.85205092505853	4.7090199548973	4.83121727523484	4.59321405411718	4.50193197421175	4.76557779553729	4.75274005646961	4.6245840525788	4.66913356204158	4.51262095312991	"DYDC2"	"DPY30 domain containing 2"
"3"	"TC03000976.hg.1"	6.94290886525192	7.12556414063955	7.40609132293086	7.03190022218163	7.06326738625935	7.03423029278306	6.87760720109289	6.71332690034785	6.84659457708196	6.7258113507204	6.86625881643124	6.89368280808227	6.56375001312211	7.05830337264247	7.13491050425192	"ATP11B"	"ATPase, class VI, type 11B"
"4"	"TC01004083.hg.1"	3.29829352727769	2.92204720022465	2.79495439799279	3.07435504990144	3.02299187216539	3.07594369697244	3.07594369697244	3.12275480676053	3.11040240354073	2.96368265954418	3.25440717679141	3.35061420634143	3.36790302835482	3.19855382309559	3.6209872268009	"OR2M7"	"olfactory receptor, family 2, subfamily M, member 7"
"5"	"TC01000391.hg.1"	7.84759816065162	7.89034727809216	7.80641445805886	8.03681209767104	7.97592893001555	7.96720450417813	8.163871628324	7.94177446812931	7.91675613289223	8.31186684877046	7.98507169790342	8.05537253625862	8.01549056215627	7.66569494973628	7.81964257128395	"YTHDF2"	"YTH domain family, member 2"
"6"	"TC17000487.hg.1"	4.06751573397601	4.20231331164105	3.99853878146514	4.22004167071428	4.03266281328202	4.18517091229756	3.98973016974886	4.19302999144503	4.43814369651975	4.22983659789709	4.30153443539532	4.18466280984037	4.64900729102333	4.38470769610085	4.16969927595585	"SNORD124"	"small nucleolar RNA, C/D box 124"
"7"	"TC06000779.hg.1"	4.05630206039239	4.21055869648362	3.95212312083664	4.25689460717582	4.08372906885901	4.11986558094689	4.13957723348282	4.16607396112689	4.42355252307417	4.04397608546818	4.2173544007096	4.29162624209901	4.43466109860683	4.30611438349125	4.27449956480516	"NT5E"	"5'-nucleotidase, ecto (CD73)"
"8"	"TC19000383.hg.1"	4.9597491767418	5.05934690853627	5.2223266009679	4.96298271137416	4.9020326882741	4.97795647237672	5.05489887827979	4.87231061862132	5.05598544905095	5.13131808354803	4.9698568136212	4.90087113264516	4.75325655470526	4.92507660466001	4.96812658123325	"ZNF90"	"zinc finger protein 90"
"9"	"TC16000021.hg.1"	8.17113967265923	7.96432743277624	7.94874819214918	8.00530388790236	7.98756861129227	7.97659661213819	7.9918728776843	8.23444744861536	8.03390214895225	7.80300411425418	8.13527325822823	8.03495537025137	7.83061435298587	8.08736020590354	7.99946531045497	"FAM195A"	"family with sequence similarity 195, member A"
"10"	"TC02001909.hg.1"	4.6413589025821	4.89422897377095	5.03131773275637	4.91883915087002	4.74188434919292	4.72332979451277	4.43612086068586	4.15024158629537	4.33381450222516	4.4049909406926	4.21213506797814	4.33037101886514	3.88678625174011	4.18935304543218	4.09894805511279	"VPS54"	"vacuolar protein sorting 54 homolog (S. cerevisiae)"
