"Reference Area","Time Period","Sex","Age group","Units of measurement","Observation Value"
"Albania","2008","All genders","Not applicable","Number","467"
"Algeria","2005","All genders","Not applicable","Number","5593"
"American Samoa","2005","All genders","Not applicable","Number","6"
"American Samoa","2004","All genders","Not applicable","Number","9"
"American Samoa","2003","All genders","Not applicable","Number","24"
"American Samoa","2002","All genders","Not applicable","Number","5"
"Angola","2011","All genders","Not applicable","Number","1150"
"Argentina","2011","All genders","Not applicable","Number","50339.8906136767"
"Argentina","2010","All genders","Not applicable","Number","47580"
"Argentina","2009","All genders","Not applicable","Number","43717"
"Argentina","2008","All genders","Not applicable","Number","41523"
"Argentina","2007","All genders","Not applicable","Number","38681"
"Argentina","2006","All genders","Not applicable","Number","35040"
"Argentina","2005","All genders","Not applicable","Number","31868"
"Argentina","2004","All genders","Not applicable","Number","29471"
"Argentina","2003","All genders","Not applicable","Number","27367"
"Argentina","2002","All genders","Not applicable","Number","26083"
"Argentina","2001","All genders","Not applicable","Number","25656"
"Argentina","2000","All genders","Not applicable","Number","26420"
"Argentina","1999","All genders","Not applicable","Number","26004"
"Argentina","1998","All genders","Not applicable","Number","25419"
"Argentina","1997","All genders","Not applicable","Number","24804"
"Australia","2008","All genders","Not applicable","Number","92648.8"
"Australia","2006","All genders","Not applicable","Number","87201"
"Australia","2004","All genders","Not applicable","Number","81191.5"
"Australia","2002","All genders","Not applicable","Number","73173"
"Australia","2000","All genders","Not applicable","Number","66001.4"
"Australia","1998","All genders","Not applicable","Number","62864.5"
"Australia","1996","All genders","Not applicable","Number","61040.76"
"Austria","2012","All genders","Not applicable","Number","38637.4"
"Austria","2011","All genders","Not applicable","Number","37113.8"
"Austria","2010","All genders","Not applicable","Number","36232.6"
"Austria","2009","All genders","Not applicable","Number","34663.7"
"Austria","2008","All genders","Not applicable","Number","34508.3"
"Austria","2007","All genders","Not applicable","Number","31675.6"
"Austria","2006","All genders","Not applicable","Number","29198.7"
"Austria","2005","All genders","Not applicable","Number","28469.6"
"Austria","2004","All genders","Not applicable","Number","25955.2"
"Austria","2002","All genders","Not applicable","Number","24124.1"
"Austria","1998","All genders","Not applicable","Number","18714.8"
"Belgium","2012","All genders","Not applicable","Number","44052.18"
"Belgium","2011","All genders","Not applicable","Number","42685.77"
"Belgium","2010","All genders","Not applicable","Number","40832.47"
