time	top	bot	fire	cook	comment
01/08/2015 12:06	16.1	14.6	yes		 starting a fire.
01/08/2015 13:08	136.8	18	yes		
01/08/2015 14:08	348	43	yes		
01/08/2015 14:38	382	64	yes		
01/08/2015 15:00	350	84.5	no		Fire taken out
01/08/2015 15:27	297.8	103.8	no		Soaking now.
01/08/2015 15:41	281	110	no	Focaccia	Focaccia in oven.
01/08/2015 16:07	248	121.5	no	Bread	Bread in the oven. Can hold hand about 10 sec.
01/08/2015 17:19	224	130.6	yes		Fire again to cook pizza
01/08/2015 19:16	362	170.6	no	Pizza	Pizzas cooked.
01/08/2015 21:39	258	187	no	Rye	Rye in oven at 20:00
01/08/2015 23:40	239.1	180.6	no		
02/08/2015 07:48	186.1	163.8	no		No problem holding hand in for 30 sec.
02/08/2015 13:49	161.3	148.5	no	Veg stew & rhubarb	
02/08/2015 16:04	152.5	140.7	no		Veg stew and rhubarb cooked just fine.
02/08/2015 21:52	137	127.7	no		
03/08/2015 08:58	114	108	no		
03/08/2015 22:07	93.9	89.4	no	fruit to dry	Put fruit in to dry
