time	top	bot	cook	fire
02/05/2015 11:10				yes
02/05/2015 12:10	63.2	9.3		yes
02/05/2015 13:10	99.5	16.5		yes
02/05/2015 14:10	118.3	36.9		yes
02/05/2015 15:16	182.6	56.7		yes
02/05/2015 16:24	246	78.8		yes
02/05/2015 18:16	325.9	98.6	Pizza	yes
02/05/2015 19:24	311	100		No
02/05/2015 20:00	264	99.6	Bread	No
02/05/2015 20:34	243.3	100	Bread	No
02/05/2015 22:28	205	98.9		
03/05/2015 09:26	119	96.1	"Beef, Beans, Rhubarb"	
03/05/2015 15:57	96.4	74		
03/05/2015 20:58	81.7	67.2		
04/05/2015 14:04	55.4	48.5		
