Protein Name,SwissProt Acc. No.,M1,M2,M3,M4,M5,M6,M7,M8,M9,UM1,UM2,UM3,UM4,UM5,UM6,UM7,UM8,UM9,N,Log2 Fold Change,Fold Change,P Value
[Protein ADP-ribosylarginine] hydrolase,P54922,0.472,-0.471,0.685,0.475,0.276,-0.895,0.063,0.076,-0.561,0.193,-0.577,-0.816,0.688,-1.560,0.502,0.222,-0.522,0.209,18,-0.14,-1.1,0.52244
"[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial",Q9P0J1,-0.098,0.075,-0.750,-0.108,0.518,-0.438,0.949,-0.817,-0.034,0.540,-2.011,1.696,-1.012,0.371,0.120,-0.513,0.272,-0.407,18,0.19,1.1,0.94673
"1,4-alpha-glucan-branching enzyme",Q04446,-0.289,-0.170,0.481,0.105,-0.043,-0.002,,,,0.268,-0.476,-0.663,-0.413,-0.201,-0.295,,,,12,-0.30,-1.2,0.09719
"10 kDa heat shock protein, mitochondrial",P61604,0.587,-1.085,-1.444,0.296,0.801,-0.754,1.800,-0.311,0.152,-0.156,-0.063,1.717,-3.306,2.276,0.243,-3.079,1.787,-0.793,18,0.45,1.4,0.83666
116 kDa U5 small nuclear ribonucleoprotein component,Q15029,0.387,0.467,-1.074,0.309,0.270,-1.032,1.629,-1.228,0.460,0.334,-0.424,1.250,0.109,0.960,0.323,-0.816,1.138,-0.244,18,0.16,1.1,0.50244
14-3-3 protein beta/alpha,P31946,-0.478,0.411,0.120,-0.197,-0.583,-0.263,-0.892,0.291,0.436,0.052,0.106,-1.834,-0.237,-0.038,-0.303,0.490,-0.547,-1.399,18,-0.20,-1.2,0.35057
14-3-3 protein epsilon,P62258,-0.057,0.422,-2.541,0.187,-0.887,0.600,-0.956,-0.172,-0.344,0.396,0.103,-1.145,0.546,-2.553,-0.715,0.187,-0.875,-0.662,18,-0.09,-1.1,0.81581
14-3-3 protein eta,Q04917,-0.568,-0.116,0.389,0.128,0.048,0.114,-0.239,0.799,-0.291,0.071,-0.036,-0.501,0.034,-1.041,-0.045,-0.170,-1.168,0.308,18,-0.29,-1.2,0.16957
14-3-3 protein gamma,P61981,-0.065,0.479,-1.540,-0.772,-0.147,-0.479,-0.757,0.559,-0.292,0.306,0.386,-0.411,0.504,-0.188,0.238,-0.092,-0.304,0.041,18,0.30,1.2,0.12947
14-3-3 protein theta,P27348,-0.138,0.087,-0.657,-0.823,-0.171,-0.636,-2.237,0.085,-0.500,-0.298,0.127,-1.812,-0.053,-0.742,-0.264,-0.008,-0.274,0.244,18,0.18,1.1,0.51011
14-3-3 protein zeta/delta,P63104,0.199,0.545,0.199,-0.209,-0.209,-0.115,-0.295,-0.202,-0.149,0.107,0.996,-3.193,-0.156,-0.209,-0.249,-0.229,-0.110,-0.163,18,-0.09,-1.1,0.40896
15 kDa selenoprotein,O60613,0.344,0.052,1.208,0.904,0.573,0.573,,,,0.863,-0.399,1.128,0.386,0.267,0.493,,,,12,-0.12,-1.1,0.58752
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2",Q00722,0.639,0.984,0.240,0.132,0.225,0.344,,,,-0.450,1.569,-2.789,-0.054,-0.160,-0.293,,,,12,-0.34,-1.3,0.20696
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2",P16885,0.079,-0.200,0.212,0.388,-0.090,0.362,-0.255,0.475,0.143,0.531,0.545,-2.514,-0.621,-0.872,-0.516,0.661,-0.627,-1.746,18,-0.41,-1.3,0.07700
"1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase beta-2",Q00722,0.639,0.984,0.240,0.132,0.225,0.344,,,,-0.450,1.569,-2.789,-0.054,-0.160,-0.293,,,,12,-0.34,-1.3,0.20696
"1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase gamma-1",P19174,-0.120,0.054,-0.531,,,,,,,-0.133,-0.452,-0.160,,,,,,,6,-0.06,-1.0,0.81921
"1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase gamma-2",P16885,0.079,-0.200,0.212,0.388,-0.090,0.362,-0.255,0.475,0.143,0.531,0.545,-2.514,-0.621,-0.872,-0.516,0.661,-0.627,-1.746,18,-0.41,-1.3,0.07700
"2',3'-cyclic-nucleotide 3'-phosphodiesterase",P09543,-0.660,-0.382,-0.593,0.996,-1.690,0.372,-0.031,-0.178,-0.575,0.017,0.004,0.323,-1.209,-0.252,0.492,0.341,-0.204,-0.644,18,0.09,1.1,0.56739
"2,4-dienoyl-CoA reductase, mitochondrial",Q16698,0.407,0.114,-3.217,-0.195,0.801,-1.883,1.038,-1.646,0.054,0.473,-0.511,1.576,-0.116,0.376,-0.142,-0.649,1.118,-1.073,18,0.38,1.3,0.27978
"2',5'-phosphodiesterase 12",Q6L8Q7,,,,0.679,1.091,-1.393,0.159,-0.014,0.265,,,,0.054,-0.278,0.639,-0.054,0.079,0.358,12,-0.14,-1.1,0.99597
2'-5'-oligoadenylate synthase 1,P00973,-0.844,-0.101,0.218,,,,0.035,1.350,-1.030,-0.048,-0.566,-0.871,,,,0.247,-1.705,-1.109,12,-0.70,-1.6,0.20623
2'-5'-oligoadenylate synthase 2,P29728,0.071,0.243,0.337,-0.080,0.345,0.412,0.154,0.102,0.128,0.496,-0.102,0.270,0.478,0.106,0.054,0.076,0.779,0.076,18,0.08,1.1,0.59859
2'-5'-oligoadenylate synthase 3,Q9Y6K5,-0.398,-0.333,-0.371,,,,,,,-0.265,-0.438,-0.333,,,,,,,6,0.02,1.0,0.70485
26S protease regulatory subunit 10B,P62333,0.130,0.528,0.169,0.087,-0.272,0.021,-0.867,-0.283,-0.057,0.315,0.009,-1.266,0.274,-0.538,0.313,0.780,0.727,-0.415,18,0.16,1.1,0.75095
26S protease regulatory subunit 4,P62191,0.295,0.614,0.348,0.223,-0.919,0.263,-1.435,0.677,-0.611,0.548,0.388,-2.392,0.715,-1.171,0.688,0.730,-0.054,0.492,18,0.16,1.1,0.90258
26S protease regulatory subunit 6A,P17980,0.281,0.427,0.361,0.393,-0.484,-0.724,-1.806,0.084,-0.024,0.534,0.241,-2.836,0.127,-0.324,0.021,0.641,-0.169,0.283,18,0.08,1.1,0.99801
26S protease regulatory subunit 6B,P43686,0.479,1.170,0.506,0.351,-0.260,0.085,-1.484,0.392,-0.127,0.745,0.679,-3.132,0.232,-0.140,0.179,1.016,0.591,0.059,18,0.05,1.0,0.84053
