"","Protein.Name","Accession.Number","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12"
"1","Heterogeneous nuclear ribonucleoprotein A3 OS=Homo sapiens GN=HNRNPA3 PE=1 SV=2","sp|P51991|ROA3_HUMAN",1.4,0.47,2.2,1.78,NA,1.86,1.3,0.69,1.38,NA,NA,1.45
"2","Activated RNA polymerase II transcriptional coactivator p15 OS=Homo sapiens GN=SUB1 PE=1 SV=3","sp|P53999|TCP4_HUMAN",1.65,1.22,2.09,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Heterogeneous nuclear ribonucleoprotein R OS=Homo sapiens GN=HNRNPR PE=1 SV=1","sp|O43390|HNRPR_HUMAN",1.33,0.99,2.04,0.85,NA,0.95,1.37,0.91,1.22,NA,NA,0.71
"4","Ig mu chain C region OS=Homo sapiens GN=IGHM PE=1 SV=3","sp|P01871|IGHM_HUMAN",0.76,0.94,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Peroxiredoxin-2 OS=Homo sapiens GN=PRDX2 PE=1 SV=5","sp|P32119|PRDX2_HUMAN",0.83,0.83,1.85,1.35,0.79,0.87,1.68,1.19,0.6,0.97,0.75,NA
"6","Integrin alpha-IIb OS=Homo sapiens GN=ITGA2B PE=1 SV=3","sp|P08514|ITA2B_HUMAN",1.03,1.13,1.75,1.06,1.02,1.09,1.97,1.17,1.22,NA,NA,NA
"7","Heterogeneous nuclear ribonucleoprotein A0 OS=Homo sapiens GN=HNRNPA0 PE=1 SV=1","sp|Q13151|ROA0_HUMAN",1.5,0.66,1.73,1.39,NA,1.32,NA,NA,NA,NA,NA,0.79
"8","HLA class I histocompatibility antigen, B-82 alpha chain OS=Homo sapiens GN=HLA-B PE=2 SV=1","sp|Q29718|1B82_HUMAN",1.37,1.63,1.72,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Plectin-1 OS=Homo sapiens GN=PLEC1 PE=1 SV=3","sp|Q15149|PLEC1_HUMAN",1.47,NA,1.69,NA,NA,NA,0.82,1.13,0.91,NA,NA,NA
"10","Splicing factor, arginine/serine-rich 2 OS=Homo sapiens GN=SFRS2 PE=1 SV=4","sp|Q01130|SFRS2_HUMAN",1.11,0.98,1.62,NA,NA,NA,1.22,1.26,1.76,NA,NA,NA
"11","Myosin-9 OS=Homo sapiens GN=MYH9 PE=1 SV=4","sp|P35579|MYH9_HUMAN",1.66,1.55,1.61,1.38,1.09,1.47,1.42,1.54,1.92,1.45,1.21,NA
"12","Heterogeneous nuclear ribonucleoproteins A2/B1 OS=Homo sapiens GN=HNRNPA2B1 PE=1 SV=2","sp|P22626|ROA2_HUMAN",1.46,0.54,1.61,1.6,1.03,1.35,1.25,0.65,1.57,1.21,1.21,1.26
"13","HLA class I histocompatibility antigen, A-36 alpha chain OS=Homo sapiens GN=HLA-A PE=1 SV=1","sp|P30455|1A36_HUMAN",1.48,1.99,1.59,NA,NA,NA,NA,NA,NA,1.66,1.44,NA
"14","TATA-binding protein-associated factor 2N OS=Homo sapiens GN=TAF15 PE=1 SV=1","sp|Q92804|RBP56_HUMAN",1.45,0.8,1.54,NA,NA,NA,1.19,0.85,1.03,NA,NA,NA
"15","Myosin light polypeptide 6 OS=Homo sapiens GN=MYL6 PE=1 SV=2","sp|P60660|MYL6_HUMAN",1.64,1.45,1.52,1.44,0.92,1.31,NA,NA,NA,1.37,1.08,NA
"16","Splicing factor 3B subunit 2 OS=Homo sapiens GN=SF3B2 PE=1 SV=1","sp|Q13435|SF3B2_HUMAN",1.08,1.03,1.51,NA,NA,NA,1.1,1.01,1.14,NA,NA,NA
"17","Trypsin-2 OS=Homo sapiens GN=PRSS2 PE=1 SV=1","sp|P07478|TRY2_HUMAN",0.93,0.91,1.49,NA,NA,NA,1.53,1.47,1.31,NA,NA,NA
"18","Splicing factor 3A subunit 1 OS=Homo sapiens GN=SF3A1 PE=1 SV=1","sp|Q15459|SF3A1_HUMAN",1.26,1.26,1.48,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Heterogeneous nuclear ribonucleoprotein G OS=Homo sapiens GN=RBMX PE=1 SV=3","sp|P38159|HNRPG_HUMAN",1.32,0.44,1.46,1.4,1,1.11,1.2,0.47,1.18,1.61,1.42,1.06
"20","Splicing factor 3B subunit 3 OS=Homo sapiens GN=SF3B3 PE=1 SV=4","sp|Q15393|SF3B3_HUMAN",1.42,0.85,1.45,0.95,NA,1.01,0.88,1.01,0.89,NA,NA,0.86
"21","Heterogeneous nuclear ribonucleoprotein M OS=Homo sapiens GN=HNRNPM PE=1 SV=3","sp|P52272|HNRPM_HUMAN",1.13,0.91,1.45,0.88,1.35,0.96,1.41,0.87,1.12,1.16,1.28,1.26
"22","Heterogeneous nuclear ribonucleoprotein H OS=Homo sapiens GN=HNRNPH1 PE=1 SV=4","sp|P31943|HNRH1_HUMAN",1.09,0.85,1.45,1.6,1.15,1.4,0.97,0.94,1.15,0.96,1.07,0.99
"23","Bifunctional purine biosynthesis protein PURH OS=Homo sapiens GN=ATIC PE=1 SV=3","sp|P31939|PUR9_HUMAN",0.96,1.19,1.45,0.92,0.83,0.97,1.21,0.81,0.97,NA,NA,NA
"24","Heterogeneous nuclear ribonucleoprotein A/B OS=Homo sapiens GN=HNRNPAB PE=1 SV=2","sp|Q99729|ROAA_HUMAN",1.97,0.78,1.44,NA,NA,NA,1.08,0.87,1.42,NA,NA,NA
"25","Spliceosome RNA helicase BAT1 OS=Homo sapiens GN=BAT1 PE=1 SV=1","sp|Q13838|UAP56_HUMAN",1.19,1.19,1.44,1.29,NA,1.2,0.98,0.96,1.19,NA,NA,0.97
"26","HLA class II histocompatibility antigen, DRB1-4 beta chain OS=Homo sapiens GN=HLA-DRB1 PE=1 SV=1","sp|P13760|2B14_HUMAN",1.89,1.08,1.43,NA,NA,NA,NA,NA,NA,0.95,1.08,NA
"27","Heterogeneous nuclear ribonucleoprotein L OS=Homo sapiens GN=HNRNPL PE=1 SV=2","sp|P14866|HNRPL_HUMAN",1.24,0.59,1.43,1.45,1.03,1.21,1.07,0.69,1.48,1.02,1.05,1.1
"28","Interleukin-25 OS=Homo sapiens GN=IL25 PE=1 SV=1","sp|Q9H293|IL25_HUMAN",0.88,0.76,1.42,0.55,0.45,0.46,NA,NA,NA,0.42,0.49,0.41
"29","Myosin regulatory light chain 12A OS=Homo sapiens GN=MYL12A PE=1 SV=2","sp|P19105|ML12A_HUMAN",1.55,1.34,1.41,1.35,1.01,1.23,NA,NA,NA,1.34,1.13,NA
"30","Vesicle-fusing ATPase OS=Homo sapiens GN=NSF PE=1 SV=3","sp|P46459|NSF_HUMAN",1.15,1.06,1.39,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","78 kDa glucose-regulated protein OS=Homo sapiens GN=HSPA5 PE=1 SV=2","sp|P11021|GRP78_HUMAN",0.78,1.51,1.38,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Small nuclear ribonucleoprotein Sm D3 OS=Homo sapiens GN=SNRPD3 PE=1 SV=1","sp|P62318|SMD3_HUMAN",1.01,0.89,1.38,1.16,1.2,0.98,0.89,1.29,1.4,0.75,0.86,0.85
"33","RNA-binding protein 14 OS=Homo sapiens GN=RBM14 PE=1 SV=2","sp|Q96PK6|RBM14_HUMAN",1.13,0.57,1.37,NA,NA,NA,0.83,0.79,0.91,NA,NA,NA
"34","Histone H2A type 1-D OS=Homo sapiens GN=HIST1H2AD PE=1 SV=2","sp|P20671|H2A1D_HUMAN",1.6,2.37,1.37,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Splicing factor, proline- and glutamine-rich OS=Homo sapiens GN=SFPQ PE=1 SV=2","sp|P23246|SFPQ_HUMAN",1.06,0.94,1.36,1.02,1.28,1.03,0.97,1.4,1.35,1.03,1.04,0.84
"36","Thioredoxin domain-containing protein 5 OS=Homo sapiens GN=TXNDC5 PE=1 SV=2","sp|Q8NBS9|TXND5_HUMAN",1,1.24,1.36,NA,NA,NA,0.87,0.91,0.98,NA,NA,NA
"37","Adenosine kinase OS=Homo sapiens GN=ADK PE=1 SV=2","sp|P55263|ADK_HUMAN",0.92,0.9,1.36,NA,NA,NA,1.68,0.97,1.07,NA,NA,NA
"38","Peptidyl-prolyl cis-trans isomerase B OS=Homo sapiens GN=PPIB PE=1 SV=2","sp|P23284|PPIB_HUMAN",1.33,1.24,1.35,1.12,1.12,1.14,1.3,1.4,1,NA,NA,NA
"39","Poly [ADP-ribose] polymerase 1 OS=Homo sapiens GN=PARP1 PE=1 SV=4","sp|P09874|PARP1_HUMAN",1.07,0.89,1.34,0.93,0.89,0.96,1.08,0.84,1.28,1.02,0.97,0.97
"40","Spectrin beta chain, brain 1 OS=Homo sapiens GN=SPTBN1 PE=1 SV=2","sp|Q01082|SPTB2_HUMAN",1.3,1.18,1.32,NA,NA,NA,0.79,1.05,1.18,NA,NA,NA
"41","Heterogeneous nuclear ribonucleoprotein A1 OS=Homo sapiens GN=HNRNPA1 PE=1 SV=5","sp|P09651|ROA1_HUMAN",1.16,0.57,1.31,1.59,0.61,1.41,1.1,0.89,1.51,1,1.04,1.39
